chr,start,end,clus,Ahal_ID,TE_ID,mz161122,mz161206,mz161220,mz170104,mz170131,mz170221,mz170307,mz170321,mz170404,mz170418,mz170502,mz170516,mz170530,mz170613,mz170627,mz170710,mz170725,mz170808,mz170822,mz170905,mz170919,mz171003,mz171017,mz171031,mz171113,mz171128,mz171212,mz171225,mz180109,mz180123,mz180206,mz180220,mz180306,mz180320,mz180403,mz180417,mz180501,mz180515,mz180529,mz180612,mz180626,mz180710,mz180724,mz180807,mz180821,mz180903,mz180918,mz181001,mz181016,mz181030,mz181113,mz181127
scaffold_1,1,150,H1,,rnd-5_family-1628:000001,H1,H1,H1,H1,H1,H1,H1,H1,H1,N,N,N,N,N,H1,H1,H1,H1,H1,H1,H1,H1,N,N,N,N,N,N,N,N,N,N,N,N,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,N,N,N,N,N,N,N,N
scaffold_1,151,300,N,,rnd-5_family-1628:000001,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
scaffold_1,301,450,N,,rnd-5_family-1628:000001,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
scaffold_1,451,600,I1,,,I1,I1,I1,I1,I1,I1,I1,I1,I1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,I1,I1,I1,I1,I1,I1,F1,I1,I1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1
scaffold_1,601,750,F1,,,F1,F1,F1,I1,I1,I1,I1,I1,I1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,I1,I1,I1,I1,I1,I1,I1,I2,I2,F2,F2,F2,F2,F2,F2,F2,F2,F2,F2,F2,F2,F2,F1,F1,F1,F1,F1
scaffold_1,751,900,F1,,rnd-3_family-46:000002,F1,F1,F1,F1,F1,I1,I1,I1,F1,F1,F1,F2,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,H2,H2,H2,F1,F1,F1,F1,F2,F2,F2,F2,I2,I2,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1
scaffold_1,901,1050,H2,,rnd-3_family-46:000002,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,F1,F1,F1,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2
scaffold_1,1051,1200,H2,,rnd-3_family-46:000002,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2
scaffold_1,1201,1350,H2,,rnd-3_family-46:000002,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2
scaffold_1,1351,1500,H2,,rnd-5_family-9427:000003,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2
scaffold_1,1501,1650,H1,,rnd-5_family-9427:000003,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1
scaffold_1,1651,1800,H2,,rnd-5_family-9427:000003,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2
scaffold_1,1801,1950,H2,,rnd-3_family-46:000004,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2
scaffold_1,1951,2100,H2,,rnd-3_family-46:000004,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2
scaffold_1,2101,2250,H2,,rnd-3_family-46:000004,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2
scaffold_1,2251,2400,H2,,rnd-3_family-46:000004,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2
scaffold_1,2401,2550,H2,,rnd-3_family-46:000004,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2
scaffold_1,2551,2700,H2,,rnd-3_family-46:000004,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2
