Ahal_ID,mRNA,H3K4me1,H3K4me2,H3K4me3,H4ac,H3K36me3,H3K27me3,H2AZ,H3K9me2,H3
g00001,,,,,,,,,,
g00002,,,,,,,,,,
g00003,,,,,,,,,,4
g00004,,,,5,,,,,,
g00005,,,,,,,,4,,
g00006,,,,,,,,,,
g00007,,,,,,,,,,5
g00008,,,,,,,,,,
g00009,,,,,,,,,,8
g00010,,,,,,,,,,
g00011,,,,,,,,,,
g00012,,,,,,,,5,,
g00013,,,,,,,,4,,
g00014,,,5,5,,,,,,
g00015,4,,,,,,,,,9
g00016,,,,,,,,,,
g00017,,,,,,,,,,
g00018,,,,,,,,,,
g00019,,,,,,,,,,
g00020,,,,,,,,,,
g00021,,,,,9,,,,,
g00022,,,,,,,49,,,
g00023,,,,5,,9,,,,
g00024,,,,,34,20,,,,
g00025,,,,,,,,,,
g00026,,,,,,,,,,
g00027,,,,,,,,,,
g00028,,,,,,,,4,,
g00029,,,,,,,,,,
g00030,,,,,,,,8,,
g00031,,,4,,4,,,4,,
g00032,,,,,,,,,,
g00033,,,,,,,,,,4
g00034,,,,,,,,,,
g00035,,,,,,,,,,
g00036,,,,,,,,,,
g00037,,,,,,,,,,
g00038,,,,,,,,,,
g00039,,,,,,,,,,
g00040,4,,,,9,,,10,,
g00041,,,,,,,,5,,
g00042,,,,,,9,,,,8
g00043,,,,,,,,,,
g00044,,,,,,,,,,8
g00045,,,,,,,,,,
g00046,,,,,,,,,,
g00047,,,,,,,,,,
g00048,,,,,,,,5,,
g00049,,,,,,,,,,
g00050,,,,,,,,,,
g00051,,4,,,,,89,,,
g00052,,,,,,,,,,
g00053,,,,,,,,,,
g00054,,,,,,,,,,
g00055,,,,,,,,,,
g00056,,,,,,,,,,
g00057,,,,,,,,,,
g00058,,,,,9,,,,,
g00059,,,,,4,,,,,
g00060,,,,,,,,,,
g00061,,,,,,,,,,
g00062,,,,,,,,,,
g00063,,,,,,,,,,
g00064,,,8,,,,,,,
g00065,,,,,,,,,,
g00066,,,,,,,,,,
g00067,,,,,,,,,,
